ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
85,3LEDid6,12,2.252413883,1.312669072,9.312880743,0.654510022,0.345489978,0.537026726,52.94451545,0.310117402,0.022306917,3.508238037,3.143499248,0.449996312,120,127,60,255
86,3LEDid6,12,2.929610417,1.359079353,12.61273097,0.409242762,0.590757238,0.263084633,26.18550308,0.244948338,0.017364408,3.508238037,3.143499248,0.449996312,120,127,60,255
87,3LEDid6,12,2.525803837,1.607297899,12.73130814,1,0,0.918151448,17.8521374,0.913486875,0.004924968,3.508238037,3.143499248,0.449996312,120,127,60,255
88,3LEDid6,12,NA,NA,NA,0,1,0,0,0,0,3.508238037,3.143499248,0.449996312,120,127,60,255
89,3LEDid6,12,2.099324028,1.130259605,7.435616996,1,0,0.936525612,12.47989488,0.32443837,0.003453103,3.508238037,3.143499248,0.449996312,120,127,60,255
90,3LEDid6,12,2.666681656,1.378705861,11.55284847,1,0,0.954342984,15.86802816,0.294031058,0.004377542,3.508238037,3.143499248,0.449996312,120,127,60,255
91,3LEDid3,13,3.522674721,2.239645675,24.77710058,1,0,0.927161523,19.75563713,0.513148485,0.005452902,6.126671132,4.753118719,0.010102906,240,255,120,0
92,3LEDid3,13,3.679131741,2.174233312,25.48168355,1,0,0.95440645,10.12900035,0.460654097,0.002788949,6.126671132,4.753118719,0.010102906,240,255,120,0
93,3LEDid3,13,1.875753039,1.080775655,6.812903556,0.818181818,0.181818182,0.772588268,7.786507253,0.602793133,0.00261311,6.126671132,4.753118719,0.010102906,240,255,120,0
94,3LEDid3,13,3.3836906,2.217192767,23.6410854,1,0,0.936891854,20.0094083,0.84938027,0.005518617,6.126671132,4.753118719,0.010102906,240,255,120,0
95,3LEDid3,13,1.958110085,1.006779226,6.213589835,0.981929386,0.018070614,0.981929386,7.186881099,0.162722584,0.002015534,6.126671132,4.753118719,0.010102906,240,255,120,0
96,3LEDid3,13,2.607170766,1.555552505,12.8406385,0.981651376,0.018348624,0.927439533,13.75291679,0.280248329,0.003859035,6.126671132,4.753118719,0.010102906,240,255,120,0
97,3LEDid3,13,3.21323052,1.769703571,17.87439208,0.600222408,0.399777592,0.600222408,7.778743988,0.149117945,0.003554651,6.126671132,4.753118719,0.010102906,240,255,120,0
98,3LEDid3,13,3.087275184,1.646430216,15.95510067,1,0,0.991103698,11.71523965,0.388089356,0.003229085,6.126671132,4.753118719,0.010102906,240,255,120,0
99,3LEDid3,13,2.350603411,1.490425146,11.02737794,0.981929386,0.018070614,0.981929386,10.19088167,0.35140002,0.002857564,6.126671132,4.753118719,0.010102906,240,255,120,0
100,3LEDid3,13,3.034671833,1.302978861,12.47355858,1,0,0.945788157,18.47142709,0.359976289,0.005104506,6.126671132,4.753118719,0.010102906,240,255,120,0
101,3LEDid35,13,2.232878874,1.308890231,9.322929331,1,0,0.981873954,14.95682856,0.236220248,0.004142496,6.126671132,4.753118719,0.010102906,240,255,120,0
102,3LEDid35,13,3.091915417,1.956564899,19.05758395,1,0,0.909369771,18.53599516,0.640749988,0.005126033,6.126671132,4.753118719,0.010102906,240,255,120,0
